日期,渠道号,所属渠道,渠道类型,合作方式,部门,汇总类型,新增用户数,1日留存率,3日留存率,7日留存率,14日留存率,30日留存率,1日arpu净值,3日arpu净值,7日arpu净值,14日arpu净值,30日arpu净值,LT3,LT7,LT14,LT30,LT180预估,LT365预估,ltv1,ltv3,ltv7,ltv14,ltv30,ltv180预估,ltv365预估,新增单价,roi365预估,花费,活跃arpu,净值系数,活跃arpu净值,ltv180净值,ltv365净值,roi365净值,系数a,系数b,拟合优度
20190630,813188,广点通-派瑞,线上CPC,付费推广,产品推广部,5,440,0.420455,0,0,0,0,0.035477,0,0,0,0,1,1,1,1,24.023885,38.793785,0.035477,0,0,0,0,0.931742,1.504578,3.202636,0.469794,1409.16,0.038784,2.65,0.102778,2.469116,3.987132,1.244954,0.4519,-0.3107,0.9338
20190630,800798,掌星清理,线上代理商,付费推广,产品推广部,5,705,0.449645,0,0,0,0,0.007461,0,0,0,0,1,1,1,1,18.918397,29.423085,0.007461,0,0,0,0,0.291703,0.453675,0,0,0,0.015419,2.65,0.04086,0.773013,1.202239,0,0.4254,-0.361,0.9881
20190630,815993,快手-辉煌明天,线上CPC,付费推广,产品推广部,5,506,0.381423,0,0,0,0,0.027668,0,0,0,0,1,1,1,1,0,0,0.027668,0,0,0,0,0,0,3.137945,0,1587.8,0.021958,2.65,0.058189,0,0,0,0,0,0
20190630,815638,蜜柚,线上代理商,付费推广,产品推广部,5,250,0.092,0,0,0,0,0.01196,0,0,0,0,1,1,1,1,4.780287,6.85009,0.01196,0,0,0,0,0.138528,0.198509,0,0,0,0.028979,2.65,0.076794,0.367099,0.526049,0,0.1043,-0.4002,0.9184
20190630,815319,头条-优矩,线上CPC,付费推广,产品推广部,5,133,0.285714,0,0,0,0,0.084812,0,0,0,0,1,1,1,1,13.570836,20.844517,0.084812,0,0,0,0,0.744876,1.144114,2.69797,0.424065,358.83,0.054888,2.65,0.145453,1.973921,3.031902,1.123772,0.3086,-0.3694,0.9543
20190630,813680,头条官方优化-亿科（齐欣）,线上CPC,付费推广,产品推广部,5,1287,0.277389,0,0,0,0,0.064002,0,0,0,0,1,1,1,1,13.929911,21.937909,0.064002,0,0,0,0,0.54218,0.853867,1.527653,0.55894,1966.09,0.038922,2.65,0.103143,1.436777,2.262748,1.481191,0.2735,-0.3304,0.9963
20190630,810466,广点通--亿科,线上CPC,付费推广,产品推广部,5,31,0.322581,0,0,0,0,0.020645,0,0,0,0,1,1,1,1,0,0,0.020645,0,0,0,0,0,0,0,0,0,0.031012,2.65,0.082182,0,0,0,0,0,0
20190630,815686,头条官方优化-亿科（齐欣）,线上CPC,付费推广,产品推广部,5,340,0.294118,0,0,0,0,0.055853,0,0,0,0,1,1,1,1,12.12602,18.238538,0.055853,0,0,0,0,0.532829,0.80142,2.705324,0.296238,919.81,0.043941,2.65,0.116444,1.411997,2.123763,0.785031,0.303,-0.3973,0.9887
20190630,815424,头条-优矩,线上CPC,付费推广,产品推广部,5,64,0.328125,0,0,0,0,0.129844,0,0,0,0,1,1,1,1,0,0,0.129844,0,0,0,0,0,0,3.571094,0,228.55,0.072442,2.65,0.191971,0,0,0,0,0,0
20190630,814533,康远dsp,DSP平台,付费推广,产品推广部,5,35,0.057143,0,0,0,0,0.014286,0,0,0,0,1,1,1,1,0,0,0.014286,0,0,0,0,0,0,0,0,0,0.01602,2.65,0.042453,0,0,0,0,0,0
20190630,811528,阿里云信息流--辉煌明天,线上CPC,付费推广,产品推广部,5,913,0.504929,0,0,0,0,0.07621,0,0,0,0,1,1,1,1,29.904347,49.367784,0.07621,0,0,0,0,0.688996,1.137434,3.07724,0.369628,2809.52,0.02304,2.65,0.061056,1.825839,3.0142,0.979514,0.507,-0.2818,0.9944
20190630,815788,广点通--亿科,线上CPC,付费推广,产品推广部,5,2510,0.516335,0,0,0,0,0.089554,0,0,0,0,1,1,1,1,0,0,0.089554,0,0,0,0,0,0,4.555012,0,11433.08,0.065185,2.65,0.17274,0,0,0,0,0,0
20190630,815534,头条-优矩,线上CPC,付费推广,产品推广部,5,77,0.246753,0,0,0,0,0.012987,0,0,0,0,1,1,1,1,0,0,0.012987,0,0,0,0,0,0,2.591688,0,199.56,0.02903,2.65,0.076929,0,0,0,0,0,0
